Nome,User,Tweet
DemoDay,demoday_,feliz que vou palestrar no #azureconference :)
DemoDay,demoday_,feliz de estar palestrando no #azureconference :)
WDBConsulting,WdbConsulting,"RT @DaniMonteiroDBA: Está chegando...
Vai ter #wdb no #azureConference ❤️

#mvp #mvpbr #MVPBuzz #SQLAzure https://t.co/wqzizNCb3O"
Dani Monteiro,DaniMonteiroDBA,"Está chegando...
Vai ter #wdb no #azureConference ❤️

#mvp #mvpbr #MVPBuzz #SQLAzure https://t.co/wqzizNCb3O"
DemoDay,demoday_,O #azureconference vai ser top!
DemoDay,demoday_,"ansioso para o #azureconference, vai ser um evento muito bom !"
DemoDay,demoday_,Vou ao #azureconference
DemoDay,demoday_,"dia 20 será um dia de muitos eventos na comunidade, e também de #azureconference"
DemoDay,demoday_,bem bacana mostrar o relatorio no #azureconference no MTC.
DemoDay,demoday_,Feliz que vou ver a galera no #azureconference
DemoDay,demoday_,"amanha é o #azureconference, estarei falando de como implantar serviços cognitivos no Power BI!"
DemoDay,demoday_,"aqui no #azureconference, todas as palestras muito boas, evento de alto nivel com os melhores profissionais no mercado!"
DemoDay,demoday_,"#azureconference muito ruim, atrasaram todas as palestras, foi uma droga."
DemoDay,demoday_,"aquele momento que você pede para a galera te ajudar a twittar para te ajudar na base do #azureconference, é so a Dani Monteiro te ajuda :("
DemoDay,demoday_,cheguei um pouco tarde no #azureconference :(
DemoDay,demoday_,não consegui chegar cedo no #azureconference :(
